language,model,train_source,train_size,test_size,f1_macro,f1_micro,precision_macro,recall_macro,hamming_loss,jaccard_macro,status
zul,LogisticRegression,validation,875,2047,0.2567500648201418,0.34053586862575624,0.23516812595367728,0.2897259311473274,0.12424686533137926,0.15590613956069851,success
xho,LogisticRegression,validation,682,1594,0.2649618439277894,0.4711593375214163,0.2473359712798419,0.32144733880847615,0.19364282726892515,0.1758363501107495,success
swa,LogisticRegression,train,3307,3312,0.25037772691276855,0.29725228975853457,0.21468468113862874,0.30352450747576604,0.16988727858293076,0.14742853637176304,success
