language,model,train_source,train_size,test_size,f1_macro,f1_micro,precision_macro,recall_macro,hamming_loss,jaccard_macro,elapsed_seconds,status
zul,mbert,validation,875,2047,0.1771838986792483,0.2585769815785026,0.1242900165541659,0.5599347422966197,0.35718938283667157,0.10447860972536088,248.95129776000977,success
xho,mbert,validation,682,1594,0.23958666875665405,0.4394549396097863,0.15930930011935,0.5303030303030303,0.37850271852781264,0.156288490094736,198.62075400352478,success
swa,mbert,train,3307,3312,0.19332118132181375,0.2319221667104917,0.1116934928298769,0.7688911760120968,0.5879629629629629,0.11068268702697219,902.327709197998,success
